Chart Recorder Data File Thu, Mar 03, 2022 11:12 AM
CH1 (V)  	CH2 (V)  
-0.437226562	0.001953125
-0.437226562	-0.000488281
-0.437226562	0.002441406
-0.437226562	-0.000488281
-0.437226562	0.002441406
-0.437226562	-0.000488281
-0.437226562	0.002441406
-0.437226562	-0.000488281
-0.437226562	0.001953125
-0.437226562	-0.000488281
-0.437226562	0.001953125
-0.437226562	-0.000488281
-0.437226562	0.002441406
-0.437226562	-0.000488281
-0.437226562	0.002441406
-0.437226562	-0.000488281
-0.437226562	0.001953125
-0.437226562	0.000000000
-0.437226562	0.002929687
-0.437226562	0.000000000
-0.359150391	0.002441406
-0.249843750	0.000000000
-0.124921875	0.001953125
-0.015615234	-0.000488281
0.109306641	0.002441406
0.218613281	-0.000488281
0.327919922	0.001953125
0.437226562	-0.000488281
0.562148437	0.002441406
0.671455078	0.000000000
0.796376953	0.002441406
0.905683594	0.000488281
1.014990234	0.003417969
1.139912109	0.000488281
1.264833984	0.002441406
1.374140625	0.000000000
1.499062500	0.002929687
1.592753906	0.000000000
1.717675781	0.002441406
1.826982422	0.000000000
1.951904297	0.001953125
2.061210937	0.000000000
2.186132812	0.002441406
2.295439453	0.000488281
2.420361328	0.003417969
2.529667969	0.000976562
2.638974609	0.003906250
2.763896484	0.001464844
2.888818359	0.003906250
2.982509766	0.002441406
3.107431641	0.004394531
3.216738281	0.002929687
3.341660156	0.005371094
3.450966797	0.003906250
3.575888672	0.006347656
3.685195312	0.004882812
3.810117187	0.008300781
3.919423828	0.006835937
4.013115234	0.010253906
4.138037109	0.009277344
4.247343750	0.013183594
4.356650391	0.012207031
4.481572266	0.016113281
4.590878906	0.016113281
4.715800781	0.020019531
4.825107422	0.020019531
4.934414063	0.024902344
5.043720703	0.025878906
5.168642578	0.030273437
5.277949219	0.032226562
5.402871094	0.037597656
5.512177734	0.041015625
5.637099609	0.048339844
5.746406250	0.052246094
5.871328125	0.062011719
5.980634766	0.068359375
6.089941406	0.079589844
6.199248047	0.085937500
6.324169922	0.095214844
6.433476563	0.097656250
6.558398438	0.101562500
6.667705078	0.101074219
6.792626953	0.103515625
6.901933594	0.102050781
7.011240234	0.103027344
7.136162109	0.100097656
7.245468750	0.100097656
7.370390625	0.096679687
7.479697266	0.096191406
7.589003906	0.092773437
7.713925781	0.092285156
7.823232422	0.088867187
7.948154297	0.088378906
8.041845703	0.085449219
8.151152344	0.085937500
8.260458984	0.083007812
8.385380859	0.084472656
8.510302734	0.083007812
8.619609375	0.084960937
8.728916016	0.084472656
8.853837891	0.087890625
8.947529297	0.088867187
9.072451172	0.093261719
9.197373047	0.095214844
9.306679687	0.101074219
9.431601562	0.104492187
9.540908203	0.111816406
9.665830078	0.116210937
9.775136719	0.125976562
9.884443359	0.129882812
9.993750000	0.140136719
10.118671875	0.147460937
10.227978516	0.159667969
10.352900391	0.169433594
10.462207031	0.184082031
10.571513672	0.197265625
10.696435547	0.216308594
10.805742187	0.231933594
10.930664062	0.250976562
11.039970703	0.263671875
11.164892578	0.274414062
11.274199219	0.275878906
11.383505859	0.274414062
11.508427734	0.267089844
11.617734375	0.260742187
11.742656250	0.252929687
11.851962891	0.245117187
11.945654297	0.234863281
12.054960938	0.224609375
12.179882813	0.214355469
12.289189453	0.205566406
12.414111328	0.197265625
12.523417969	0.190917969
12.632724609	0.182617187
12.757646484	0.177734375
12.866953125	0.172851562
12.991875000	0.170410156
13.101181641	0.168457031
13.226103516	0.168457031
13.335410156	0.168457031
13.444716797	0.170898437
13.569638672	0.172851562
13.694560547	0.177734375
13.803867187	0.182128906
13.913173828	0.189941406
14.022480469	0.196289062
14.147402344	0.205566406
14.256708984	0.213867187
14.366015625	0.224609375
14.490937500	0.233886719
14.600244141	0.246582031
14.725166016	0.257812500
